contrato_id,valor_bem,num_parcelas,parcela_atual,contemplado,data_contemplacao
4,93281.79,80,1,não,
5,32745.16,60,4,não,
9,468918.58,60,10,não,
19,18020.71,180,3,não,
22,28506.97,100,8,não,
30,59364.74,120,14,não,
36,80376.36,80,2,não,
42,34048.38,100,12,não,
43,498306.73,80,12,não,
45,288967.56,200,14,sim,2026-07-10
47,15619.18,60,1,não,
49,354746.22,100,1,não,
60,339132.77,200,2,não,
66,31981.25,100,11,não,
67,98140.47,60,9,não,
78,88144.55,180,8,sim,2026-07-30
80,26082.84,120,1,não,
85,66097.39,60,8,não,
90,61215.38,60,2,sim,2026-12-25
106,50151.88,80,1,não,
108,119841.39,100,16,não,
113,474219.25,120,9,não,
116,12678.45,120,13,não,
123,25137.23,120,6,sim,2026-04-04
129,237138.09,100,6,não,
151,96537.36,80,17,não,
152,50485.39,80,6,não,
155,392524.43,120,7,não,
156,34866.92,180,8,não,
165,29068.45,120,13,não,
171,99864.7,100,12,não,
183,29378.27,180,5,não,
184,16994.22,80,14,não,
193,75194.03,80,2,sim,2026-09-29
199,33282.46,200,17,não,
200,59284.03,60,17,não,
205,59620.86,80,4,não,
209,16265.5,180,6,não,
217,239268.99,100,13,não,
219,97263.77,120,11,não,
223,238653.86,80,17,não,
228,20708.46,80,5,não,
233,515660.82,180,5,não,
237,21555.18,60,8,não,
240,78140.94,80,17,não,
242,27406.17,120,1,sim,2026-08-07
243,101820.94,100,10,não,
249,346945.81,120,18,não,
254,13815.36,120,1,não,
259,390530.85,200,6,não,
273,13412.19,60,1,não,
276,156816.58,100,15,não,
283,34438.32,200,16,não,
284,82135.56,80,13,não,
286,284435.72,200,6,não,
292,408271.29,60,16,não,
300,14970.11,180,1,não,
302,220475.63,180,9,não,
305,407465.2,120,14,não,
312,25375.89,80,16,não,
322,31264.81,120,1,não,
324,87814.99,120,8,não,
327,13335.51,120,4,não,
331,479071.77,120,13,não,
339,118794.16,100,11,não,
342,114589.73,120,1,não,
346,570762.06,100,5,não,
350,15466.59,200,2,não,
352,28918.35,60,1,não,
359,30396.55,200,7,não,
360,54957.34,180,10,não,
363,294171.2,200,4,não,
364,78842.85,200,8,não,
369,108532.8,100,5,não,
375,441573.95,200,2,não,
377,12945.48,200,4,não,
379,34653.51,120,1,sim,2027-02-06
388,413992.44,100,17,não,
404,11590.68,120,2,não,
410,27277.6,80,2,não,
417,525468.24,200,3,não,
421,354433.39,60,15,não,
425,59025.54,60,17,não,
428,48360.4,180,12,não,
435,18981.31,200,9,não,
440,77401.52,60,16,não,
442,593179.66,120,7,sim,2026-08-10
443,461033.76,100,7,não,
451,24544.47,180,15,não,
457,13148.2,100,4,não,
462,18905.69,80,12,não,
467,573410.78,60,14,não,
471,111017.58,100,3,não,
473,73872.12,60,17,não,
474,13135.51,60,12,não,
479,317451.05,180,7,não,
491,21763.95,180,15,sim,2025-11-03
492,502359.06,80,8,não,
496,330999.16,100,6,não,
500,552849.25,120,7,não,
505,474951.52,60,1,não,
518,84699.86,80,12,sim,2026-03-18
521,9895.98,120,17,sim,2026-04-08
523,14127.35,200,14,não,
529,371182.04,200,15,sim,2025-08-25
534,97456.51,200,13,não,
541,21657.03,180,10,sim,2025-10-31
551,110342.29,180,2,não,
559,402365.27,100,4,não,
560,90795.4,120,7,sim,2026-02-12
565,28714.19,60,10,não,
568,83085.31,180,6,sim,2026-03-17
575,80052.35,200,5,sim,2026-12-29
579,47477.62,80,4,sim,2027-03-03
581,281454.0,80,9,sim,2026-10-01
583,78206.49,60,17,não,
591,113432.5,60,14,não,
600,46731.99,80,15,não,
605,32597.63,60,2,não,
613,26202.34,180,9,não,
618,392438.74,60,1,não,
624,21299.5,200,4,não,
625,73110.78,100,14,não,
640,450145.28,60,12,não,
646,368993.62,180,10,sim,2026-07-08
650,510179.21,100,11,não,
659,426209.71,120,7,não,
661,22543.56,180,6,sim,2027-04-25
666,446638.42,200,14,não,
676,91314.18,80,3,sim,2026-11-22
678,21147.21,200,12,não,
682,107198.07,120,5,não,
685,22303.79,180,1,não,
699,591593.0,60,5,não,
704,84356.18,120,18,sim,2026-03-20
707,116821.82,120,11,sim,2026-08-04
708,467489.31,100,9,não,
711,18920.37,60,14,não,
713,92106.11,60,17,sim,2025-09-18
714,30913.89,200,8,não,
721,26015.3,80,11,sim,2025-10-13
725,351447.24,200,14,não,
727,22045.2,60,1,sim,2027-05-04
730,18903.07,180,11,não,
735,243991.79,120,5,não,
736,61592.13,100,15,não,
745,251178.56,80,10,não,
751,67391.99,120,10,não,
754,21358.73,120,4,não,
758,93209.57,100,1,não,
