contrato_id,cliente_id,categoria_produto,subtipo,ano,mes,data_adesao,valor_mensal,status
1,1,cartao,Visa Gold,2025,10,2025-10-23,78.32,cancelado
2,1,seguro_cartao,Proteção Financeira do Cartão,2026,1,2026-01-05,20.09,ativo
3,2,cartao,Mastercard Gold,2026,4,2026-04-17,49.06,ativo
4,2,consorcio,Veículo Leve,2026,5,2026-05-06,553.22,ativo
5,3,consorcio,Motocicleta,2026,2,2026-02-13,1224.33,cancelado
6,4,seguro_cartao,Seguro Vida Cartão (Prestamista),2025,8,2025-08-06,13.23,ativo
7,4,cartao,Visa Platinum,2025,3,2025-03-01,79.5,ativo
8,4,seguro_avulso,Auto,2025,2,2025-02-18,425.89,ativo
9,5,consorcio,Imóvel,2025,8,2025-08-06,3042.43,ativo
10,5,seguro_cartao,Seguro Vida Cartão (Prestamista),2026,6,2026-06-15,11.32,ativo
11,6,cartao,Visa Gold,2026,5,2026-05-20,35.91,ativo
12,6,seguro_cartao,Seguro Vida Cartão (Prestamista),2026,1,2026-01-19,10.15,ativo
13,7,seguro_avulso,Residencial,2025,12,2025-12-26,37.05,ativo
14,7,cartao,Visa Standard,2025,7,2025-07-25,32.31,ativo
15,8,seguro_cartao,Proteção Financeira do Cartão,2025,4,2025-04-01,11.78,ativo
16,8,seguro_avulso,Residencial,2025,10,2025-10-23,63.4,ativo
17,9,cartao,Visa Gold,2025,11,2025-11-16,44.19,ativo
18,9,seguro_cartao,Seguro Vida Cartão (Prestamista),2026,2,2026-02-09,14.2,ativo
19,9,consorcio,Motocicleta,2026,3,2026-03-20,3006.02,ativo
20,10,seguro_cartao,Seguro Vida Cartão (Prestamista),2025,9,2025-09-27,24.32,cancelado
21,11,cartao,Mastercard Gold,2025,12,2025-12-10,21.09,ativo
22,11,consorcio,Motocicleta,2025,11,2025-11-02,382.76,ativo
23,11,seguro_cartao,Seguro Vida Cartão (Prestamista),2026,2,2026-02-12,13.37,ativo
